Date,Open,High,Low,Close,Adj Close,Volume
1985-04-16,1268.109985,1276.609985,1256.959961,1269.550049,1269.550049,9870000
1985-04-17,1269.660034,1277.500000,1263.469971,1272.310059,1272.310059,9120000
1985-04-18,1278.819946,1281.910034,1260.819946,1265.130005,1265.130005,11170000
1985-04-19,1265.130005,1272.530029,1258.500000,1266.560059,1266.560059,8740000
1985-04-22,1269.770020,1273.630005,1257.619995,1266.560059,1266.560059,7080000
1985-04-23,1265.349976,1282.910034,1261.150024,1278.709961,1278.709961,10790000
1985-04-24,1279.489990,1286.439941,1269.880005,1278.489990,1278.489990,8510000
1985-04-25,1276.829956,1289.199951,1272.530029,1284.780029,1284.780029,9620000
1985-04-26,1286.219971,1290.300049,1270.540039,1275.180054,1275.180054,8930000
1985-04-29,1272.859985,1277.939941,1257.400024,1259.719971,1259.719971,9200000
1985-04-30,1256.739990,1266.229980,1245.800049,1258.060059,1258.060059,12390000
1985-05-01,1257.180054,1262.810059,1239.069946,1242.050049,1242.050049,10050000
1985-05-02,1244.369995,1251.209961,1235.530029,1242.270020,1242.270020,9780000
1985-05-03,1243.709961,1253.859985,1238.300049,1247.239990,1247.239990,8680000
1985-05-06,1246.910034,1256.400024,1241.390015,1247.790039,1247.790039,7100000
1985-05-07,1248.229980,1261.369995,1243.150024,1252.750000,1252.750000,9140000
1985-05-08,1248.670044,1258.939941,1239.510010,1249.780029,1249.780029,9710000
1985-05-09,1251.880005,1265.569946,1246.579956,1260.270020,1260.270020,16290000
1985-05-10,1268.989990,1282.459961,1261.589966,1274.180054,1274.180054,16460000
1985-05-13,1277.609985,1283.569946,1268.770020,1277.500000,1277.500000,7530000
1985-05-14,1281.469971,1288.650024,1267.670044,1273.300049,1273.300049,11580000
1985-05-15,1271.199951,1283.569946,1265.459961,1273.520020,1273.520020,13980000
1985-05-16,1276.719971,1285.109985,1270.099976,1278.050049,1278.050049,10590000
1985-05-17,1276.829956,1295.829956,1271.420044,1285.339966,1285.339966,14230000
1985-05-20,1298.949951,1310.369995,1292.229980,1304.880005,1304.880005,15320000
1985-05-21,1305.000000,1316.079956,1297.489990,1309.699951,1309.699951,13230000
1985-05-22,1305.219971,1308.920044,1294.349976,1303.760010,1303.760010,8670000
1985-05-23,1301.750000,1307.800049,1290.989990,1296.709961,1296.709961,8210000
1985-05-24,1295.469971,1305.670044,1291.109985,1301.969971,1301.969971,6680000
1985-05-28,1305.329956,1312.839966,1293.229980,1301.520020,1301.520020,9210000
1985-05-29,1300.959961,1308.359985,1292.790039,1302.979980,1302.979980,8880000
1985-05-30,1306.449951,1314.180054,1293.910034,1305.780029,1305.780029,14740000
1985-05-31,1302.760010,1320.790039,1298.719971,1315.410034,1315.410034,12190000
1985-06-03,1321.239990,1325.040039,1304.209961,1310.930054,1310.930054,10830000
1985-06-04,1310.599976,1321.239990,1304.439941,1315.300049,1315.300049,9450000
1985-06-05,1320.560059,1331.770020,1312.609985,1320.560059,1320.560059,14320000
1985-06-06,1317.199951,1330.530029,1311.939941,1327.280029,1327.280029,9770000
1985-06-07,1329.640015,1331.989990,1312.949951,1316.420044,1316.420044,8590000
1985-06-10,1314.290039,1322.579956,1307.239990,1318.439941,1318.439941,6120000
1985-06-11,1319.000000,1323.810059,1308.020020,1313.839966,1313.839966,8020000
1985-06-12,1312.050049,1318.209961,1300.739990,1306.339966,1306.339966,9550000
1985-06-13,1302.199951,1308.130005,1285.390015,1290.099976,1290.099976,13310000
1985-06-14,1297.380005,1305.439941,1288.880005,1300.959961,1300.959961,9220000
1985-06-17,1298.949951,1303.989990,1288.750000,1298.390015,1298.390015,7280000
1985-06-18,1299.400024,1312.390015,1293.680054,1304.770020,1304.770020,10900000
1985-06-19,1304.770020,1312.719971,1293.569946,1297.380005,1297.380005,11310000
1985-06-20,1296.709961,1305.439941,1287.750000,1299.729980,1299.729980,7780000
1985-06-21,1297.270020,1326.050049,1293.790039,1324.479980,1324.479980,15770000
1985-06-24,1315.079956,1326.719971,1307.800049,1320.560059,1320.560059,10100000
1985-06-25,1322.689941,1338.819946,1314.069946,1323.030029,1323.030029,14050000
1985-06-26,1320.680054,1329.189941,1314.739990,1323.810059,1323.810059,10060000
1985-06-27,1325.939941,1338.709961,1321.800049,1332.209961,1332.209961,9760000
1985-06-28,1334.119995,1341.170044,1326.160034,1335.459961,1335.459961,9150000
1985-07-01,1334.010010,1342.180054,1322.579956,1337.140015,1337.140015,7880000
1985-07-02,1335.459961,1343.750000,1329.189941,1334.010010,1334.010010,9170000
1985-07-03,1331.770020,1337.589966,1320.229980,1326.390015,1326.390015,9030000
1985-07-05,1328.290039,1340.609985,1324.930054,1334.449951,1334.449951,6000000
1985-07-08,1330.420044,1336.469971,1318.880005,1328.410034,1328.410034,7050000
1985-07-09,1324.599976,1333.670044,1313.400024,1321.910034,1321.910034,9400000
1985-07-10,1320.900024,1336.810059,1315.300049,1332.890015,1332.890015,10060000
1985-07-11,1333.219971,1343.640015,1326.160034,1337.699951,1337.699951,10170000
1985-07-12,1336.130005,1345.989990,1326.390015,1338.599976,1338.599976,11060000
1985-07-15,1333.890015,1347.670044,1326.949951,1335.459961,1335.459961,10970000
1985-07-16,1336.579956,1351.930054,1331.540039,1347.890015,1347.890015,12980000
1985-07-17,1354.609985,1365.930054,1346.209961,1357.969971,1357.969971,15510000
1985-07-18,1352.260010,1363.260010,1345.319946,1350.920044,1350.920044,12590000
1985-07-19,1351.030029,1363.349976,1346.439941,1359.540039,1359.540039,10810000
1985-07-22,1356.180054,1362.119995,1346.890015,1357.640015,1357.640015,8790000
1985-07-23,1357.079956,1372.199951,1344.760010,1351.810059,1351.810059,18070000
1985-07-24,1349.800049,1359.209961,1335.689941,1348.900024,1348.900024,12860000
1985-07-25,1349.130005,1359.880005,1338.599976,1353.609985,1353.609985,11870000
1985-07-26,1352.260010,1365.589966,1345.209961,1357.079956,1357.079956,10820000
1985-07-29,1354.280029,1358.089966,1338.930054,1343.859985,1343.859985,8560000
1985-07-30,1340.390015,1352.599976,1334.900024,1346.099976,1346.099976,10790000
1985-07-31,1347.890015,1357.410034,1340.050049,1347.449951,1347.449951,10690000
1985-08-01,1350.020020,1361.900024,1342.969971,1355.619995,1355.619995,9840000
1985-08-02,1354.280029,1360.099976,1345.430054,1353.050049,1353.050049,6220000
1985-08-05,1348.569946,1352.709961,1336.920044,1346.890015,1346.890015,6640000
1985-08-06,1345.880005,1350.020020,1322.920044,1325.160034,1325.160034,9710000
1985-08-07,1320.790039,1331.209961,1316.310059,1325.040039,1325.040039,7260000
1985-08-08,1324.709961,1334.790039,1318.319946,1329.859985,1329.859985,8480000
1985-08-09,1328.849976,1331.880005,1317.650024,1320.790039,1320.790039,7430000
1985-08-12,1318.770020,1324.369995,1309.140015,1314.290039,1314.290039,7200000
1985-08-13,1314.630005,1325.489990,1303.650024,1315.300049,1315.300049,7200000
1985-08-14,1318.550049,1326.050049,1311.380005,1316.979980,1316.979980,7120000
1985-08-15,1318.439941,1324.709961,1308.130005,1317.760010,1317.760010,7550000
1985-08-16,1312.609985,1321.569946,1305.890015,1312.719971,1312.719971,10380000
1985-08-19,1312.050049,1319.219971,1307.569946,1312.500000,1312.500000,6070000
1985-08-20,1315.969971,1328.069946,1311.829956,1323.699951,1323.699951,9120000
1985-08-21,1323.920044,1333.670044,1319.109985,1329.530029,1329.530029,7180000
1985-08-22,1330.420044,1334.680054,1313.510010,1318.099976,1318.099976,8260000
1985-08-23,1316.420044,1322.920044,1310.479980,1318.319946,1318.319946,6090000
1985-08-26,1316.640015,1324.260010,1309.810059,1317.650024,1317.650024,5160000
1985-08-27,1321.239990,1328.630005,1315.189941,1322.469971,1322.469971,6750000
1985-08-28,1322.920044,1334.790039,1316.979980,1331.089966,1331.089966,12840000
1985-08-29,1331.209961,1340.050049,1325.160034,1335.130005,1335.130005,10400000
1985-08-30,1335.459961,1342.410034,1325.270020,1334.010010,1334.010010,9110000
1985-09-03,1333.670044,1337.140015,1322.800049,1329.189941,1329.189941,8070000
1985-09-04,1329.079956,1334.119995,1318.209961,1326.719971,1326.719971,8610000
1985-09-05,1326.390015,1333.000000,1318.660034,1325.829956,1325.829956,8250000
1985-09-06,1327.170044,1341.400024,1323.920044,1335.689941,1335.689941,8900000
1985-09-09,1335.130005,1348.229980,1326.609985,1339.270020,1339.270020,8680000
1985-09-10,1337.930054,1346.550049,1324.819946,1333.449951,1333.449951,10140000
1985-09-11,1330.199951,1334.010010,1314.849976,1319.439941,1319.439941,8070000
1985-09-12,1317.430054,1327.400024,1307.010010,1312.390015,1312.390015,9940000
1985-09-13,1314.959961,1320.119995,1296.709961,1307.680054,1307.680054,10130000
1985-09-16,1307.349976,1315.750000,1301.079956,1309.140015,1309.140015,7020000
